"exercise","weight_delta"
0,-1.96123919308358
1.01,0
0,-2.70724361312985
30,-1.12175825102754
0,-0.694743142214265
0,-0.507747146346603
0,-0.961335686741877
0,-1.13834502086001
0,-0.818194280656841
0,-0.458302180370596
0,-0.184164903918374
0,-0.553514090447969
0,-0.374537710976774
0,0
30,-0.27672838771802
3,0.277496298751533
60,0
60,-1.68529654010738
0,0
0,-3.17263853854952
0,-0.854479975220411
0,-0.578963455434545
0,5.71154118703054
30,-1.75747589561827
120,-2.0061028480898
120,-1.01059188956473
120,0.0922233865903155
215,0.886712989007309
795,0.146486582612715
0,2.42811330839124
30,0.00285792052260154
0,0.0404998687938127
20,-0.153730133822971
30,0
0,-0.780286683107264
0,-2.41262696214219
0,-0.214548366227204
0,12.3644781274483
0,-3.97454998031831
30,-2.50847445326886
0,-0.619038717937977
0,2.26504128981519
0,-4.58661961199837
15,-0.798902615319055
0,-1.1056129347362
0,-0.621104782191118
0,-0.917445109538213
0,-3.33340720945397
85.97,-0.656800778073
0,-0.563111318118321
30,0.00784396862412334
33,-1.22151028555853
165,-1.12989105871934
159,-0.398942310356183
258,-1.06810729286105
230,-0.674774372319262
216.95,-1.00771512233171
198,-0.590481758132815
165,-0.660132534834107
198,-1.66775952935388
165,-0.848069485857884
254,-0.463300078096637
225,-1.28895656844045
165,-1.30578760352599
165,-1.35981578738415
198,-0.856894467649891
161,-1.24008852946264
324,-1.97872123026475
189,-1.6304601784544
132,-0.907670252118444
304,-0.87614140267286
166,-1.33246542078873
110,-1.78487231117601
96,3.0458602268871
132,7.93947578750019
132,-0.163990602342878
132,-0.358431789720757
137,-0.404675961844509
33,-1.59517272840384
93,0.152897234009717
102,-0.320644507241617
27,0.0612788450869629
75,-0.0510316183401879
40,1.12783923545198
140,-0.357945020162727
90,-2.4100298817721
30,0.59881188118811
0,0.00309429875472004
0,0.736845769450751
0,-4.96384953331102
90,-0.000793657092516235
60,-1.18533951561318
0,-0.33459028281362
0,-1.32015314474973
0,-3.12141933371774
0,-0.575382751303749
0,3.93565369513609
0,-1.11399057860952
0,-1.01352861088186
0,-0.00161669606114185
110.02,-0.0666530470069384
0,-2.40377838051539
0,-1.47785498167886
403,-0.514537382741694
411.08,0.574721381764008
50.01,-0.913238248200774
0,-1.09024833434281
0,-7.77709736680955
128.52,-3.23529411764706
98.61,-0.911854103343456
112.87,-1.63599182004072
399.98,-1.28205128205129
264.99,-1.31578947368421
215,-0.675675675675669
50.01,0.160258788265502
0,-0.532660499018782
0,-0.468592290029938
0,1.21053977620212
0,-0.0664315560877948
30,-2.40865818218258
110,-1.07265511398709
45,-1.01309581015734
0,2.13186358679985
90,-0.361525845232331
30,-0.104038553608965
30,-0.241921617395959
300,0
203,-1.60189861056358
272.8,-0.996693800839958
399.59,-0.805278662667766
135,0.694455076289023
0,-0.781262110337772
300,-0.984267345759055
255,-0.728971077835805
300,-1.62886434077724
360,-0.447889972887478
210,1.02251148296627
270,-1.21459441222307
30,6.8307121830631
45,-0.315281258250043
0,-1.33320791488399
89.98,0.00399042298483738
0,-2.4934545955629
0,2.4446503343501
0,2.01703945831482
